REGATTA.
Checkpoints :
X:3600.0,Y:5160.0
X:3300.0,Y:3500.0
X:2400.0,Y:2000.0
X:1800.0,Y:360.0
X:360.0,Y:320.0
Shipcount : 1,
Deck : 3x4

oar, X:1,Y:0

oar, X:2,Y:0

oar, X:1,Y:2

oar, X:2,Y:2

rudder, X:3,Y:1

watch, X:0,Y:1

sail, X:1,Y:1

ROUND 83:id:0,x:3,y:1,ac:TURN|id:1,x:1,y:2,ac:null|id:2,x:1,y:0,ac:OAR|id:3,x:2,y:2,ac:null|id:4,x:2,y:0,ac:OAR|id:5,x:1,y:1,ac:null|id:6,x:0,y:1,ac:null|

ROUND 84:id:0,x:3,y:1,ac:TURN|id:1,x:1,y:2,ac:OAR|id:2,x:1,y:0,ac:OAR|id:3,x:2,y:2,ac:OAR|id:4,x:2,y:0,ac:OAR|id:5,x:1,y:1,ac:null|id:6,x:0,y:1,ac:null|

ROUND 85:id:0,x:3,y:1,ac:TURN|id:1,x:1,y:2,ac:OAR|id:2,x:1,y:0,ac:OAR|id:3,x:2,y:2,ac:OAR|id:4,x:2,y:0,ac:OAR|id:5,x:1,y:1,ac:null|id:6,x:0,y:1,ac:null|

ROUND 86:id:0,x:3,y:1,ac:TURN|id:1,x:1,y:2,ac:OAR|id:2,x:1,y:0,ac:OAR|id:3,x:2,y:2,ac:OAR|id:4,x:2,y:0,ac:OAR|id:5,x:1,y:1,ac:null|id:6,x:0,y:1,ac:null|

ROUND 87:id:0,x:3,y:1,ac:TURN|id:1,x:1,y:2,ac:OAR|id:2,x:1,y:0,ac:null|id:3,x:2,y:2,ac:OAR|id:4,x:2,y:0,ac:null|id:5,x:1,y:1,ac:null|id:6,x:0,y:1,ac:null|

ROUND 88:id:0,x:3,y:1,ac:TURN|id:1,x:1,y:2,ac:null|id:2,x:1,y:0,ac:OAR|id:3,x:2,y:2,ac:null|id:4,x:2,y:0,ac:OAR|id:5,x:1,y:1,ac:null|id:6,x:0,y:1,ac:null|

ROUND 89:id:0,x:3,y:1,ac:TURN|id:1,x:1,y:2,ac:OAR|id:2,x:1,y:0,ac:OAR|id:3,x:2,y:2,ac:OAR|id:4,x:2,y:0,ac:OAR|id:5,x:1,y:1,ac:null|id:6,x:0,y:1,ac:null|

ROUND 90:id:0,x:3,y:1,ac:TURN|id:1,x:1,y:2,ac:OAR|id:2,x:1,y:0,ac:OAR|id:3,x:2,y:2,ac:OAR|id:4,x:2,y:0,ac:OAR|id:5,x:1,y:1,ac:null|id:6,x:0,y:1,ac:null|
