CP (nb=8) {{[300:1800|0,00] r150} {[1900:3800|0,00] r150} {[2000:5240|0,00] r150} {[3600:5160|0,00] r150} {[3300:3500|0,00] r150} {[2400:2000|0,00] r150} {[1800:360|0,00] r150} {[360:320|0,00] r150}}
SAILORS (nb=7)
SHIP {pos=[360:320|1,57] nbO=4 nbR=1 nbS=1 nbW=1}
---------------------------------------------------------------------------------------------
shipPos = [  3145 :  3210 | -2,01 ] | nbOars = 2 : 2 | ----------------------------- | R = -0,00 | ----- | W: d= 0,00  #  s= 150 |
shipPos = [  3074 :  3061 | -2,02 ] | nbOars = 2 : 2 | ----------------------------- | R = -0,00 | ----- | W: d= 0,00  #  s= 150 |
shipPos = [  3003 :  2912 | -2,02 ] | nbOars = 2 : 2 | ----------------------------- | R = -0,00 | ----- | W: d= 0,00  #  s= 150 |
shipPos = [  2932 :  2763 | -2,02 ] | nbOars = 2 : 2 | ----------------------------- | R = -0,00 | ----- | W: d= 0,00  #  s= 150 |
shipPos = [  2861 :  2614 | -2,02 ] | nbOars = 2 : 2 | ----------------------------- | --------- | ----- | W: d= 0,00  #  s= 150 |
shipPos = [  2790 :  2465 | -2,02 ] | nbOars = 2 : 2 | ----------------------------- | --------- | ----- | W: d= 0,00  #  s= 150 |
shipPos = [  2718 :  2316 | -2,02 ] | nbOars = 2 : 2 | ----------------------------- | R = -0,00 | ----- | W: d= 0,00  #  s= 150 |
shipPos = [  2647 :  2168 | -2,02 ] | nbOars = 2 : 2 | ----------------------------- | R = -0,53 | ----- | W: d= 0,00  #  s= 150 |
=================================== | NEW TARGETED CHECKPOINT : {[1800:360|0,00] r150}
shipPos = [  2541 :  2044 | -2,55 ] | nbOars = 2 : 2 | ----------------------------- | R =  0,49 | ----- | W: d= 0,00  #  s= 150 |
shipPos = [  2432 :  1922 | -2,06 ] | nbOars = 2 : 2 | ----------------------------- | R =  0,02 | ----- | W: d= 0,00  #  s= 150 |
shipPos = [  2356 :  1776 | -2,03 ] | nbOars = 2 : 2 | ----------------------------- | R =  0,00 | ----- | W: d= 0,00  #  s= 150 |
shipPos = [  2283 :  1628 | -2,03 ] | nbOars = 2 : 2 | ----------------------------- | R =  0,00 | ----- | W: d= 0,00  #  s= 150 |
shipPos = [  2209 :  1480 | -2,03 ] | nbOars = 2 : 2 | ----------------------------- | R =  0,00 | ----- | W: d= 0,00  #  s= 150 |
shipPos = [  2135 :  1333 | -2,03 ] | nbOars = 2 : 2 | ----------------------------- | R =  0,00 | ----- | W: d= 0,00  #  s= 150 |
shipPos = [  2062 :  1185 | -2,03 ] | nbOars = 2 : 2 | ----------------------------- | R =  0,00 | ----- | W: d= 0,00  #  s= 150 |
shipPos = [  1988 :  1037 | -2,03 ] | nbOars = 2 : 2 | ----------------------------- | --------- | ----- | W: d= 0,00  #  s= 150 |
shipPos = [  1914 :   890 | -2,03 ] | nbOars = 2 : 2 | ----------------------------- | --------- | ----- | W: d= 0,00  #  s= 150 |
shipPos = [  1841 :   742 | -2,03 ] | nbOars = 2 : 2 | ----------------------------- | --------- | ----- | W: d= 0,00  #  s= 150 |
shipPos = [  1767 :   594 | -2,03 ] | nbOars = 2 : 2 | ----------------------------- | --------- | ----- | W: d= 0,00  #  s= 150 |
=================================== | NEW TARGETED CHECKPOINT : {[360:320|0,00] r150}
shipPos = [  1694 :   447 | -2,03 ] | nbOars = 2 : 2 | ----------------------------- | R = -0,79 | ----- | W: d= 0,00  #  s= 150 |
shipPos = [  1573 :   341 | -2,82 ] | nbOars = 2 : 2 | ----------------------------- | R = -0,31 | ----- | W: d= 0,00  #  s= 150 |
shipPos = [  1411 :   313 | -3,12 ] | nbOars = 2 : 2 | ----------------------------- | R = -0,02 | ----- | W: d= 0,00  #  s= 150 |
shipPos = [  1246 :   312 | -3,15 ] | nbOars = 2 : 2 | ----------------------------- | R = -0,00 | ----- | W: d= 0,00  #  s= 150 |
shipPos = [  1081 :   313 | -3,15 ] | nbOars = 2 : 2 | ----------------------------- | R = -0,00 | ----- | W: d= 0,00  #  s= 150 |
shipPos = [   916 :   315 | -3,15 ] | nbOars = 2 : 2 | ----------------------------- | R = -0,00 | ----- | W: d= 0,00  #  s= 150 |
shipPos = [   751 :   316 | -3,15 ] | nbOars = 2 : 2 | ----------------------------- | R = -0,00 | ----- | W: d= 0,00  #  s= 150 |
shipPos = [   586 :   318 | -3,15 ] | nbOars = 2 : 2 | ----------------------------- | --------- | ----- | W: d= 0,00  #  s= 150 |
