InitShipPos : (120.0, 1728.0, ori=0.0) | ShipDeck : (5, 3) | [Sl{id=0, x=0, y=0}, Sl{id=1, x=0, y=1}, Sl{id=2, x=0, y=2}, Sl{id=3, x=1, y=0}, Sl{id=4, x=1, y=1}, Sl{id=5, x=1, y=2}, Sl{id=6, x=2, y=0}
[Oar(1,0), Oar(2,0), Oar(3,0), Oar(1,2), Oar(2,2), Oar(3,2), Rudder(4,1), Watch(0,1), Sail(2,1)] | [CP{pos=(480.0, 1488.0)}, CP{pos=(800.0, 856.0)}, CP{pos=(120.0, 1488.0)}]
Ship(-147.5, 1609.7, ori=3.14) | CP{pos=(800.0, 856.0)} [{Si:2,T:TURN,rotation:-0.7853981633974483},{Si:3,T:OAR},{Si:6,T:OAR},{Si:5,T:OAR},{Si:4,T:OAR},{Si:8,T:OAR},{Si:0,T:USE_WATCH}]
Ship(-234.5, 1678.0, ori=1.83) | CP{pos=(800.0, 856.0)} [{Si:2,T:TURN,rotation:0.7853981633974483},{Si:5,T:OAR},{Si:0,T:USE_WATCH}]
Ship(-239.9, 1684.8, ori=3.14) | CP{pos=(800.0, 856.0)} [{Si:2,T:TURN,rotation:0.4148998602648062},{Si:7,T:LOWER_SAIL},{Si:3,T:OAR},{Si:5,T:OAR},{Si:0,T:USE_WATCH}]
Ship(-293.4, 1673.6, ori=3.56) | CP{pos=(800.0, 856.0)} [{Si:3,T:OAR},{Si:5,T:OAR},{Si:0,T:USE_WATCH}]
Ship(-343.7, 1651.5, ori=3.56) | CP{pos=(800.0, 856.0)} [{Si:3,T:OAR},{Si:5,T:OAR},{Si:0,T:USE_WATCH}]
Ship(-394.1, 1629.3, ori=3.56) | CP{pos=(800.0, 856.0)} [{Si:2,T:TURN,rotation:0.7853981633974483},{Si:5,T:OAR},{Si:8,T:OAR},{Si:1,T:OAR},{Si:0,T:USE_WATCH}]
Ship(-393.4, 1564.6, ori=5.91) | CP{pos=(800.0, 856.0)} [{Si:2,T:TURN,rotation:0.37049830313272025},{Si:7,T:LIFT_SAIL},{Si:3,T:OAR},{Si:5,T:OAR},{Si:6,T:OAR},{Si:8,T:OAR},{Si:4,T:OAR},{Si:1,T:OAR},{Si
Ship(-208.3, 1529.6, ori=0.0) | CP{pos=(800.0, 856.0)} [{Si:2,T:TURN,rotation:-0.7853981633974483},{Si:3,T:OAR},{Si:5,T:OAR},{Si:0,T:USE_WATCH}]
Ship(-138.2, 1501.4, ori=-0.79) | CP{pos=(800.0, 856.0)} [{Si:2,T:TURN,rotation:0.7853981633974483},{Si:5,T:OAR},{Si:8,T:OAR},{Si:1,T:OAR},{Si:0,T:USE_WATCH}]
Ship(-62.9, 1528.1, ori=1.57) | CP{pos=(800.0, 856.0)} [{Si:7,T:LOWER_SAIL},{Si:3,T:OAR},{Si:5,T:OAR},{Si:6,T:OAR},{Si:8,T:OAR},{Si:4,T:OAR},{Si:1,T:OAR},{Si:0,T:USE_WATCH}]
Ship(-62.9, 1693.1, ori=1.57) | CP{pos=(800.0, 856.0)} [{Si:3,T:OAR},{Si:5,T:OAR},{Si:6,T:OAR},{Si:8,T:OAR},{Si:4,T:OAR},{Si:1,T:OAR},{Si:0,T:USE_WATCH}]
Ship(-62.9, 1858.1, ori=1.57) | CP{pos=(800.0, 856.0)} [{Si:2,T:TURN,rotation:0.7853981633974483},{Si:5,T:OAR},{Si:0,T:USE_WATCH}]
Ship(-78.4, 1878.5, ori=2.88) | CP{pos=(800.0, 856.0)} [{Si:2,T:TURN,rotation:0.5291911467503496},{Si:3,T:OAR},{Si:5,T:OAR},{Si:0,T:USE_WATCH}]
Ship(-132.7, 1878.4, ori=3.41) | CP{pos=(800.0, 856.0)} [{Si:3,T:OAR},{Si:5,T:OAR},{Si:0,T:USE_WATCH}]
Ship(-185.8, 1863.9, ori=3.41) | CP{pos=(800.0, 856.0)} [{Si:3,T:OAR},{Si:5,T:OAR},{Si:0,T:USE_WATCH}]
Ship(-238.8, 1849.4, ori=3.41) | CP{pos=(800.0, 856.0)} [{Si:3,T:OAR},{Si:5,T:OAR},{Si:0,T:USE_WATCH}]
Ship(-291.9, 1834.9, ori=3.41) | CP{pos=(800.0, 856.0)} [{Si:3,T:OAR},{Si:5,T:OAR},{Si:0,T:USE_WATCH}]
Ship(-344.9, 1820.3, ori=3.41) | CP{pos=(800.0, 856.0)} [{Si:2,T:TURN,rotation:0.7853981633974483},{Si:5,T:OAR},{Si:8,T:OAR},{Si:1,T:OAR},{Si:0,T:USE_WATCH}]
Ship(-353.7, 1756.2, ori=5.77) | CP{pos=(800.0, 856.0)} [{Si:2,T:TURN,rotation:0.5180064044462096},{Si:7,T:LIFT_SAIL},{Si:3,T:OAR},{Si:5,T:OAR},{Si:6,T:OAR},{Si:8,T:OAR},{Si:4,T:OAR},{Si:1,T:OAR},{Si:
Ship(-173.3, 1708.1, ori=0.0) | CP{pos=(800.0, 856.0)} [{Si:2,T:TURN,rotation:-0.7853981633974483},{Si:3,T:OAR},{Si:5,T:OAR},{Si:0,T:USE_WATCH}]
Ship(-103.2, 1679.9, ori=-0.79) | CP{pos=(800.0, 856.0)} [{Si:2,T:TURN,rotation:0.7853981633974483},{Si:5,T:OAR},{Si:8,T:OAR},{Si:1,T:OAR},{Si:0,T:USE_WATCH}]
Ship(-27.9, 1706.5, ori=1.57) | CP{pos=(800.0, 856.0)} [{Si:7,T:LOWER_SAIL},{Si:3,T:OAR},{Si:5,T:OAR},{Si:6,T:OAR},{Si:8,T:OAR},{Si:4,T:OAR},{Si:1,T:OAR},{Si:0,T:USE_WATCH}]
Ship(-27.9, 1871.5, ori=1.57) | CP{pos=(800.0, 856.0)} [{Si:2,T:TURN,rotation:0.7853981633974483},{Si:5,T:OAR},{Si:0,T:USE_WATCH}]
Ship(-43.3, 1891.9, ori=2.88) | CP{pos=(800.0, 856.0)} [{Si:2,T:TURN,rotation:0.5240942813549916},{Si:3,T:OAR},{Si:5,T:OAR},{Si:0,T:USE_WATCH}]
Ship(-97.7, 1892.0, ori=3.4) | CP{pos=(800.0, 856.0)} [{Si:3,T:OAR},{Si:5,T:OAR},{Si:0,T:USE_WATCH}]
Ship(-150.8, 1877.8, ori=3.4) | CP{pos=(800.0, 856.0)} [{Si:3,T:OAR},{Si:5,T:OAR},{Si:0,T:USE_WATCH}]
Ship(-203.9, 1863.5, ori=3.4) | CP{pos=(800.0, 856.0)} [{Si:3,T:OAR},{Si:5,T:OAR},{Si:0,T:USE_WATCH}]
Ship(-257.1, 1849.2, ori=3.4) | CP{pos=(800.0, 856.0)} [{Si:3,T:OAR},{Si:5,T:OAR},{Si:0,T:USE_WATCH}]
Ship(-310.2, 1835.0, ori=3.4) | CP{pos=(800.0, 856.0)} [{Si:3,T:OAR},{Si:5,T:OAR},{Si:0,T:USE_WATCH}]
