InitShipPos : (0.0, 0.0, ori=0.0) | ShipDeck : (11, 5) | [Sl{id=0, x=0, y=0}, Sl{id=1, x=0, y=1}, Sl{id=2, x=0, y=2}, Sl{id=3, x=0, y=3}, Sl{id=4, x=0, y=4}, Sl{id=5, x=1, y=0}, Sl{id=6, x=1, y=1}, Sl
[Oar(1,0), Oar(2,0), Oar(3,0), Oar(4,0), Oar(5,0), Oar(6,0), Oar(7,0), Oar(8,0), Oar(9,0), Oar(1,4), Oar(2,4), Oar(3,4), Oar(4,4), Oar(5,4), Oar(6,4), Oar(7,4), Oar(8,4), Oar(9,4), Rudder(10,4), Sail(
Ship(484.2, 1335.0, ori=2.42) | CP{pos=(300.0, 1500.0)} [{Si:5,T:OAR},{Si:9,T:OAR},{Si:10,T:OAR},{Si:14,T:OAR},{Si:15,T:OAR},{Si:18,T:OAR},{Si:16,T:OAR},{Si:17,T:OAR},{Si:11,T:OAR},{Si:13,T:OAR},{Si:1
Ship(402.0, 1408.0, ori=2.42) | CP{pos=(300.0, 1500.0)} [{Si:5,T:OAR},{Si:9,T:OAR},{Si:10,T:OAR},{Si:14,T:OAR},{Si:15,T:OAR},{Si:18,T:OAR},{Si:16,T:OAR},{Si:17,T:OAR},{Si:11,T:OAR},{Si:13,T:OAR},{Si:1
Ship(319.8, 1481.1, ori=2.42) | CP{pos=(0.0, 0.0)} [{Si:19,T:MOV,xd:4,yd:0},{Si:19,T:TURN,rotation:0.7853981633974483},{Si:9,T:OAR},{Si:14,T:OAR},{Si:18,T:OAR},{Si:17,T:OAR},{Si:13,T:OAR},{Si:12,T:MOV
Ship(272.9, 1472.5, ori=4.25) | CP{pos=(0.0, 0.0)} [{Si:19,T:TURN,rotation:0.2812641738540993},{Si:5,T:OAR},{Si:9,T:OAR},{Si:10,T:OAR},{Si:14,T:OAR},{Si:15,T:OAR},{Si:18,T:OAR},{Si:16,T:OAR},{Si:17,T:
Ship(243.7, 1385.9, ori=4.53) | CP{pos=(0.0, 0.0)} [{Si:5,T:OAR},{Si:9,T:OAR},{Si:10,T:OAR},{Si:14,T:OAR},{Si:15,T:OAR},{Si:18,T:OAR},{Si:16,T:OAR},{Si:17,T:OAR},{Si:11,T:OAR},{Si:13,T:OAR},{Si:12,T:M
Ship(223.7, 1277.8, ori=4.53) | CP{pos=(0.0, 0.0)} [{Si:5,T:OAR},{Si:9,T:OAR},{Si:10,T:OAR},{Si:14,T:OAR},{Si:15,T:OAR},{Si:18,T:OAR},{Si:16,T:OAR},{Si:17,T:OAR},{Si:11,T:OAR},{Si:13,T:OAR},{Si:12,T:O
Ship(203.6, 1169.6, ori=4.53) | CP{pos=(0.0, 0.0)} [{Si:5,T:OAR},{Si:9,T:OAR},{Si:10,T:OAR},{Si:14,T:OAR},{Si:15,T:OAR},{Si:18,T:OAR},{Si:16,T:OAR},{Si:17,T:OAR},{Si:11,T:OAR},{Si:13,T:OAR},{Si:12,T:O
Ship(183.6, 1061.5, ori=4.53) | CP{pos=(0.0, 0.0)} [{Si:5,T:OAR},{Si:9,T:OAR},{Si:10,T:OAR},{Si:14,T:OAR},{Si:15,T:OAR},{Si:18,T:OAR},{Si:16,T:OAR},{Si:17,T:OAR},{Si:11,T:OAR},{Si:13,T:OAR},{Si:12,T:O
Ship(163.5, 953.3, ori=4.53) | CP{pos=(0.0, 0.0)} [{Si:5,T:OAR},{Si:9,T:OAR},{Si:10,T:OAR},{Si:14,T:OAR},{Si:15,T:OAR},{Si:18,T:OAR},{Si:16,T:OAR},{Si:17,T:OAR},{Si:11,T:OAR},{Si:13,T:OAR},{Si:12,T:OA
Ship(143.5, 845.2, ori=4.53) | CP{pos=(0.0, 0.0)} [{Si:5,T:OAR},{Si:9,T:OAR},{Si:10,T:OAR},{Si:14,T:OAR},{Si:15,T:OAR},{Si:18,T:OAR},{Si:16,T:OAR},{Si:17,T:OAR},{Si:11,T:OAR},{Si:13,T:OAR},{Si:12,T:OA
Ship(123.4, 737.0, ori=4.53) | CP{pos=(0.0, 0.0)} [{Si:5,T:OAR},{Si:9,T:OAR},{Si:10,T:OAR},{Si:14,T:OAR},{Si:15,T:OAR},{Si:18,T:OAR},{Si:16,T:OAR},{Si:17,T:OAR},{Si:11,T:OAR},{Si:13,T:OAR},{Si:12,T:OA
Ship(103.4, 628.8, ori=4.53) | CP{pos=(0.0, 0.0)} [{Si:19,T:MOV,xd:4,yd:0},{Si:19,T:TURN,rotation:0.020296642346816718},{Si:5,T:OAR},{Si:9,T:OAR},{Si:10,T:OAR},{Si:14,T:OAR},{Si:15,T:OAR},{Si:18,T:OAR
Ship(87.6, 538.5, ori=4.55) | CP{pos=(0.0, 0.0)} [{Si:5,T:OAR},{Si:9,T:OAR},{Si:10,T:OAR},{Si:14,T:OAR},{Si:15,T:OAR},{Si:18,T:OAR},{Si:16,T:OAR},{Si:17,T:OAR},{Si:11,T:OAR},{Si:13,T:OAR},{Si:12,T:OAR
Ship(69.7, 430.0, ori=4.55) | CP{pos=(0.0, 0.0)} [{Si:5,T:OAR},{Si:9,T:OAR},{Si:10,T:OAR},{Si:14,T:OAR},{Si:15,T:OAR},{Si:18,T:OAR},{Si:16,T:OAR},{Si:17,T:OAR},{Si:11,T:OAR},{Si:13,T:OAR},{Si:12,T:OAR
Ship(51.9, 321.5, ori=4.55) | CP{pos=(0.0, 0.0)} [{Si:5,T:OAR},{Si:9,T:OAR},{Si:10,T:OAR},{Si:14,T:OAR},{Si:15,T:OAR},{Si:18,T:OAR},{Si:16,T:OAR},{Si:17,T:OAR},{Si:11,T:OAR},{Si:13,T:OAR},{Si:12,T:OAR
Ship(34.1, 212.9, ori=4.55) | CP{pos=(0.0, 0.0)} [{Si:5,T:OAR},{Si:9,T:OAR},{Si:10,T:OAR},{Si:14,T:OAR},{Si:15,T:OAR},{Si:18,T:OAR},{Si:16,T:OAR},{Si:17,T:OAR},{Si:11,T:OAR},{Si:13,T:OAR},{Si:12,T:OAR
Ship(16.2, 104.4, ori=4.55) | CP{pos=(0.0, 0.0)} [{Si:5,T:OAR},{Si:9,T:OAR},{Si:10,T:OAR},{Si:14,T:OAR},{Si:15,T:OAR},{Si:18,T:OAR},{Si:16,T:OAR},{Si:17,T:OAR},{Si:11,T:OAR},{Si:13,T:OAR},{Si:12,T:OAR
