InitShipPos : (0.0,0.0,ori=0.0) | ShipDeck : (4, 2) | [Sl{id=0, x=0, y=0}, Sl{id=1, x=0, y=1}, Sl{id=2, x=1, y=0}, Sl{id=3, x=1, y=1}]
[{Si:3,T:OAR},{Si:1,T:OAR},{Si:2,T:OAR}] | Ship(3850.0000000004766,0.0,ori=0.0) | CP{pos=(-200.0,1000.0)}
[{Si:3,T:OAR},{Si:1,T:OAR},{Si:2,T:OAR}] | Ship(3905.0000000004948,0.0,ori=0.0) | CP{pos=(-200.0,1000.0)}
[{Si:3,T:OAR},{Si:1,T:OAR},{Si:2,T:OAR}] | Ship(3960.000000000513,0.0,ori=0.0) | CP{pos=(-200.0,1000.0)}
[{Si:3,T:OAR},{Si:1,T:OAR},{Si:2,T:OAR}] | Ship(4015.000000000531,0.0,ori=0.0) | CP{pos=(-200.0,1000.0)}
[{Si:3,T:OAR},{Si:1,T:OAR},{Si:2,T:OAR}] | Ship(4070.0000000005493,0.0,ori=0.0) | CP{pos=(-200.0,1000.0)}
[{Si:3,T:OAR},{Si:1,T:OAR},{Si:2,T:OAR}] | Ship(4125.0000000005675,0.0,ori=0.0) | CP{pos=(-200.0,1000.0)}
[{Si:3,T:OAR},{Si:1,T:OAR},{Si:2,T:OAR}] | Ship(4180.000000000586,0.0,ori=0.0) | CP{pos=(-200.0,1000.0)}
[{Si:3,T:OAR},{Si:1,T:OAR},{Si:2,T:OAR}] | Ship(4235.000000000604,0.0,ori=0.0) | CP{pos=(-200.0,1000.0)}
[{Si:3,T:OAR},{Si:1,T:OAR},{Si:2,T:OAR}] | Ship(4290.000000000622,0.0,ori=0.0) | CP{pos=(-200.0,1000.0)}
[{Si:3,T:OAR},{Si:1,T:OAR},{Si:2,T:OAR}] | Ship(4345.00000000064,0.0,ori=0.0) | CP{pos=(-200.0,1000.0)}
[{Si:3,T:OAR},{Si:1,T:OAR},{Si:2,T:OAR}] | Ship(4400.0000000006585,0.0,ori=0.0) | CP{pos=(-200.0,1000.0)}
[{Si:3,T:OAR},{Si:1,T:OAR},{Si:2,T:OAR}] | Ship(4455.000000000677,0.0,ori=0.0) | CP{pos=(-200.0,1000.0)}
[{Si:3,T:OAR},{Si:1,T:OAR},{Si:2,T:OAR}] | Ship(4510.000000000695,0.0,ori=0.0) | CP{pos=(-200.0,1000.0)}
[{Si:3,T:OAR},{Si:1,T:OAR},{Si:2,T:OAR}] | Ship(4565.000000000713,0.0,ori=0.0) | CP{pos=(-200.0,1000.0)}
[{Si:3,T:OAR},{Si:1,T:OAR},{Si:2,T:OAR}] | Ship(4620.000000000731,0.0,ori=0.0) | CP{pos=(-200.0,1000.0)}
[{Si:3,T:OAR},{Si:1,T:OAR},{Si:2,T:OAR}] | Ship(4675.000000000749,0.0,ori=0.0) | CP{pos=(-200.0,1000.0)}
[{Si:3,T:OAR},{Si:1,T:OAR},{Si:2,T:OAR}] | Ship(4730.000000000768,0.0,ori=0.0) | CP{pos=(-200.0,1000.0)}
[{Si:3,T:OAR},{Si:1,T:OAR},{Si:2,T:OAR}] | Ship(4785.000000000786,0.0,ori=0.0) | CP{pos=(-200.0,1000.0)}
[{Si:3,T:OAR},{Si:1,T:OAR},{Si:2,T:OAR}] | Ship(4840.000000000804,0.0,ori=0.0) | CP{pos=(-200.0,1000.0)}
[{Si:3,T:OAR},{Si:1,T:OAR},{Si:2,T:OAR}] | Ship(4895.000000000822,0.0,ori=0.0) | CP{pos=(-200.0,1000.0)}
[{Si:3,T:OAR},{Si:1,T:OAR},{Si:2,T:OAR}] | Ship(4950.00000000084,0.0,ori=0.0) | CP{pos=(-200.0,1000.0)}
[{Si:3,T:OAR},{Si:1,T:OAR},{Si:2,T:OAR}] | Ship(5005.000000000859,0.0,ori=0.0) | CP{pos=(-200.0,1000.0)}
[{Si:3,T:OAR},{Si:1,T:OAR},{Si:2,T:OAR}] | Ship(5060.000000000877,0.0,ori=0.0) | CP{pos=(-200.0,1000.0)}
[{Si:3,T:OAR},{Si:1,T:OAR},{Si:2,T:OAR}] | Ship(5115.000000000895,0.0,ori=0.0) | CP{pos=(-200.0,1000.0)}
[{Si:3,T:OAR},{Si:1,T:OAR},{Si:2,T:OAR}] | Ship(5170.000000000913,0.0,ori=0.0) | CP{pos=(-200.0,1000.0)}
[{Si:3,T:OAR},{Si:1,T:OAR},{Si:2,T:OAR}] | Ship(5225.000000000931,0.0,ori=0.0) | CP{pos=(-200.0,1000.0)}
[{Si:3,T:OAR},{Si:1,T:OAR},{Si:2,T:OAR}] | Ship(5280.0000000009495,0.0,ori=0.0) | CP{pos=(-200.0,1000.0)}
[{Si:3,T:OAR},{Si:1,T:OAR},{Si:2,T:OAR}] | Ship(5335.000000000968,0.0,ori=0.0) | CP{pos=(-200.0,1000.0)}
