shipPos = [ 11951 : 13219 |  0,09 ] | nbOars = 5 : 5 | ----------------------------- | --------- | ----- | W: d= 1,57  #  s= 120 |
shipPos = [ 12126 : 13234 |  0,09 ] | nbOars = 5 : 5 | ----------------------------- | --------- | ----- | W: d= 1,57  #  s= 120 |
shipPos = [ 12301 : 13250 |  0,09 ] | nbOars = 5 : 5 | ----------------------------- | --------- | ----- | W: d= 1,57  #  s= 120 |
shipPos = [ 12476 : 13265 |  0,09 ] | nbOars = 5 : 5 | ----------------------------- | --------- | ----- | W: d= 1,57  #  s= 120 |
shipPos = [ 12651 : 13281 |  0,09 ] | nbOars = 5 : 5 | ----------------------------- | --------- | ----- | W: d= 1,57  #  s= 120 |
shipPos = [ 12826 : 13296 |  0,09 ] | nbOars = 5 : 5 | ----------------------------- | --------- | ----- | W: d= 1,57  #  s= 120 |
shipPos = [ 13001 : 13312 |  0,09 ] | nbOars = 5 : 5 | ----------------------------- | --------- | ----- | W: d= 1,57  #  s= 120 |
shipPos = [ 13176 : 13327 |  0,09 ] | nbOars = 5 : 5 | ----------------------------- | --------- | ----- | W: d= 1,57  #  s= 120 |
shipPos = [ 13351 : 13343 |  0,09 ] | nbOars = 5 : 5 | ----------------------------- | --------- | ----- | W: d= 1,57  #  s= 120 |
shipPos = [ 13526 : 13358 |  0,09 ] | nbOars = 5 : 5 | ----------------------------- | --------- | ----- | W: d= 1,57  #  s= 120 |
shipPos = [ 13701 : 13374 |  0,09 ] | nbOars = 5 : 5 | ----------------------------- | --------- | ----- | W: d= 1,57  #  s= 120 |
shipPos = [ 13876 : 13389 |  0,09 ] | nbOars = 5 : 5 | ----------------------------- | --------- | ----- | W: d= 1,57  #  s= 120 |
shipPos = [ 14050 : 13404 |  0,09 ] | nbOars = 5 : 5 | ----------------------------- | --------- | ----- | W: d= 1,57  #  s= 120 |
shipPos = [ 14225 : 13420 |  0,09 ] | nbOars = 5 : 5 | ----------------------------- | --------- | ----- | W: d= 1,57  #  s= 120 |
shipPos = [ 14400 : 13435 |  0,09 ] | nbOars = 5 : 5 | ----------------------------- | --------- | ----- | W: d= 1,57  #  s= 120 |
shipPos = [ 14575 : 13451 |  0,09 ] | nbOars = 5 : 5 | ----------------------------- | --------- | ----- | W: d= 1,57  #  s= 120 |
shipPos = [ 14750 : 13466 |  0,09 ] | nbOars = 5 : 5 | ----------------------------- | --------- | ----- | W: d= 1,57  #  s= 120 |
******* NEW VISIBLE ENTITIES ****** | Reef{[14954:10625|0,56] Rect[w=3000:h=6500|o=0,00]} !
shipPos = [ 14925 : 13482 |  0,09 ] | nbOars = 5 : 5 | ----------------------------- | --------- | ----- | W: d= 1,57  #  s= 120 |
shipPos = [ 15100 : 13497 |  0,09 ] | nbOars = 5 : 5 | ----------------------------- | --------- | ----- | W: d= 1,57  #  s= 120 |
shipPos = [ 15275 : 13513 |  0,09 ] | nbOars = 5 : 5 | ----------------------------- | --------- | ----- | W: d= 1,57  #  s= 120 |
shipPos = [ 15450 : 13528 |  0,09 ] | nbOars = 4 : 5 | ----------------------------- | --------- | ----- | W: d= 1,57  #  s= 120 |
