REGATTA.
Checkpoints :
ROUND 26:id:0,x:1,y:4,ac:OAR|id:1,x:1,y:0,ac:OAR|id:2,x:2,y:4,ac:OAR|id:3,x:2,y:0,ac:OAR|id:4,x:3,y:4,ac:OAR|id:5,x:3,y:0,ac:OAR|id:6,x:4,y:4,ac:OAR|id:7,x:4,y:0,ac:OAR|id:8,x:5,y:4,ac:OAR|id:9,x:5,y

ROUND 27:id:0,x:1,y:4,ac:OAR|id:1,x:1,y:0,ac:OAR|id:2,x:2,y:4,ac:OAR|id:3,x:2,y:0,ac:OAR|id:4,x:3,y:4,ac:OAR|id:5,x:3,y:0,ac:OAR|id:6,x:4,y:4,ac:OAR|id:7,x:4,y:0,ac:OAR|id:8,x:5,y:4,ac:OAR|id:9,x:5,y

ROUND 28:id:0,x:1,y:4,ac:OAR|id:1,x:1,y:0,ac:OAR|id:2,x:2,y:4,ac:OAR|id:3,x:2,y:0,ac:OAR|id:4,x:3,y:4,ac:OAR|id:5,x:3,y:0,ac:OAR|id:6,x:4,y:4,ac:OAR|id:7,x:4,y:0,ac:OAR|id:8,x:5,y:4,ac:OAR|id:9,x:5,y

ROUND 29:id:0,x:1,y:4,ac:OAR|id:1,x:1,y:0,ac:OAR|id:2,x:2,y:4,ac:OAR|id:3,x:2,y:0,ac:OAR|id:4,x:3,y:4,ac:OAR|id:5,x:3,y:0,ac:OAR|id:6,x:4,y:4,ac:OAR|id:7,x:4,y:0,ac:OAR|id:8,x:5,y:4,ac:OAR|id:9,x:5,y

ROUND 30:id:0,x:1,y:4,ac:null|id:1,x:1,y:0,ac:OAR|id:2,x:2,y:4,ac:OAR|id:3,x:2,y:0,ac:OAR|id:4,x:3,y:4,ac:OAR|id:5,x:3,y:0,ac:OAR|id:6,x:4,y:4,ac:OAR|id:7,x:4,y:0,ac:OAR|id:8,x:5,y:4,ac:OAR|id:9,x:5,

ROUND 31:id:0,x:1,y:4,ac:OAR|id:1,x:1,y:0,ac:OAR|id:2,x:2,y:4,ac:OAR|id:3,x:2,y:0,ac:OAR|id:4,x:3,y:4,ac:OAR|id:5,x:3,y:0,ac:OAR|id:6,x:4,y:4,ac:OAR|id:7,x:4,y:0,ac:OAR|id:8,x:5,y:4,ac:OAR|id:9,x:5,y

ROUND 32:id:0,x:1,y:4,ac:OAR|id:1,x:1,y:0,ac:null|id:2,x:2,y:4,ac:OAR|id:3,x:2,y:0,ac:OAR|id:4,x:3,y:4,ac:OAR|id:5,x:3,y:0,ac:OAR|id:6,x:4,y:4,ac:OAR|id:7,x:4,y:0,ac:OAR|id:8,x:5,y:4,ac:OAR|id:9,x:5,

ROUND 33:id:0,x:1,y:4,ac:OAR|id:1,x:1,y:0,ac:OAR|id:2,x:2,y:4,ac:OAR|id:3,x:2,y:0,ac:OAR|id:4,x:3,y:4,ac:OAR|id:5,x:3,y:0,ac:OAR|id:6,x:4,y:4,ac:OAR|id:7,x:4,y:0,ac:OAR|id:8,x:5,y:4,ac:OAR|id:9,x:5,y

ROUND 34:id:0,x:1,y:4,ac:null|id:1,x:1,y:0,ac:OAR|id:2,x:2,y:4,ac:OAR|id:3,x:2,y:0,ac:OAR|id:4,x:3,y:4,ac:OAR|id:5,x:3,y:0,ac:OAR|id:6,x:4,y:4,ac:OAR|id:7,x:4,y:0,ac:OAR|id:8,x:5,y:4,ac:OAR|id:9,x:5,

ROUND 35:id:0,x:1,y:4,ac:OAR|id:1,x:1,y:0,ac:OAR|id:2,x:2,y:4,ac:OAR|id:3,x:2,y:0,ac:OAR|id:4,x:3,y:4,ac:OAR|id:5,x:3,y:0,ac:OAR|id:6,x:4,y:4,ac:OAR|id:7,x:4,y:0,ac:OAR|id:8,x:5,y:4,ac:OAR|id:9,x:5,y

ROUND 36:id:0,x:1,y:4,ac:OAR|id:1,x:1,y:0,ac:null|id:2,x:2,y:4,ac:OAR|id:3,x:2,y:0,ac:null|id:4,x:3,y:4,ac:OAR|id:5,x:3,y:0,ac:null|id:6,x:4,y:4,ac:OAR|id:7,x:4,y:0,ac:null|id:8,x:5,y:4,ac:OAR|id:9,x

ROUND 37:id:0,x:1,y:4,ac:OAR|id:1,x:1,y:0,ac:null|id:2,x:2,y:4,ac:OAR|id:3,x:2,y:0,ac:null|id:4,x:3,y:4,ac:OAR|id:5,x:3,y:0,ac:null|id:6,x:4,y:4,ac:OAR|id:7,x:4,y:0,ac:null|id:8,x:5,y:4,ac:OAR|id:9,x

ROUND 38:id:0,x:1,y:4,ac:OAR|id:1,x:1,y:0,ac:null|id:2,x:2,y:4,ac:OAR|id:3,x:2,y:0,ac:null|id:4,x:3,y:4,ac:OAR|id:5,x:3,y:0,ac:null|id:6,x:4,y:4,ac:OAR|id:7,x:4,y:0,ac:null|id:8,x:5,y:4,ac:OAR|id:9,x
