shipPos = [  8864 : 10655 |  1,02 ] | nbOars = 5 : 5 | ----------------------------- | --------- | ----- | W: d= 1,57  #  s= 120 |
shipPos = [  9005 : 10882 |  1,02 ] | nbOars = 5 : 5 | ----------------------------- | --------- | ----- | W: d= 1,57  #  s= 120 |
shipPos = [  9146 : 11109 |  1,02 ] | nbOars = 5 : 5 | ----------------------------- | R = -0,22 | ----- | W: d= 1,57  #  s= 120 |
shipPos = [  9305 : 11313 |  0,80 ] | nbOars = 5 : 5 | ----------------------------- | --------- | ----- | W: d= 1,57  #  s= 120 |
shipPos = [  9420 : 11503 |  0,80 ] | nbOars = 5 : 5 | ----------------------------- | R = -0,01 | ----- | W: d= 1,57  #  s= 120 |
shipPos = [  9588 : 11682 |  0,79 ] | nbOars = 5 : 5 | ----------------------------- | --------- | ----- | W: d= 1,57  #  s= 120 |
shipPos = [  9764 : 11859 |  0,79 ] | nbOars = 5 : 5 | ----------------------------- | --------- | ----- | W: d= 1,57  #  s= 120 |
shipPos = [  9941 : 12036 |  0,79 ] | nbOars = 5 : 5 | ----------------------------- | --------- | ----- | W: d= 1,57  #  s= 120 |
shipPos = [ 10118 : 12213 |  0,79 ] | nbOars = 5 : 5 | ----------------------------- | R = -0,57 | ----- | W: d= 1,57  #  s= 120 |
shipPos = [ 10308 : 12321 |  0,22 ] | nbOars = 5 : 5 | ----------------------------- | --------- | ----- | W: d= 1,57  #  s= 120 |
shipPos = [ 10495 : 12362 |  0,22 ] | nbOars = 5 : 5 | ----------------------------- | --------- | ----- | W: d= 1,57  #  s= 120 |
shipPos = [ 10681 : 12404 |  0,22 ] | nbOars = 5 : 5 | ----------------------------- | --------- | ----- | W: d= 1,57  #  s= 120 |
shipPos = [ 10868 : 12445 |  0,22 ] | nbOars = 5 : 5 | ----------------------------- | --------- | ----- | W: d= 1,57  #  s= 120 |
shipPos = [ 11055 : 12486 |  0,22 ] | nbOars = 5 : 5 | ----------------------------- | --------- | ----- | W: d= 1,57  #  s= 120 |
shipPos = [ 11241 : 12528 |  0,22 ] | nbOars = 5 : 5 | ----------------------------- | --------- | ----- | W: d= 1,57  #  s= 120 |
shipPos = [ 11428 : 12569 |  0,22 ] | nbOars = 5 : 5 | ----------------------------- | --------- | ----- | W: d= 1,57  #  s= 120 |
shipPos = [ 11614 : 12610 |  0,22 ] | nbOars = 5 : 5 | ----------------------------- | --------- | ----- | W: d= 1,57  #  s= 120 |
shipPos = [ 11801 : 12652 |  0,22 ] | nbOars = 5 : 5 | ----------------------------- | --------- | ----- | W: d= 1,57  #  s= 120 |
shipPos = [ 11987 : 12693 |  0,22 ] | nbOars = 5 : 5 | ----------------------------- | --------- | ----- | W: d= 1,57  #  s= 120 |
shipPos = [ 12174 : 12734 |  0,22 ] | nbOars = 5 : 5 | ----------------------------- | --------- | ----- | W: d= 1,57  #  s= 120 |
shipPos = [ 12360 : 12776 |  0,22 ] | nbOars = 5 : 5 | ----------------------------- | --------- | ----- | W: d= 1,57  #  s= 120 |
shipPos = [ 12547 : 12817 |  0,22 ] | nbOars = 5 : 5 | ----------------------------- | --------- | ----- | W: d= 1,57  #  s= 120 |
shipPos = [ 12733 : 12858 |  0,22 ] | nbOars = 5 : 5 | ----------------------------- | --------- | ----- | W: d= 1,57  #  s= 120 |
shipPos = [ 12920 : 12900 |  0,22 ] | nbOars = 5 : 5 | ----------------------------- | --------- | ----- | W: d= 1,57  #  s= 120 |
shipPos = [ 13106 : 12941 |  0,22 ] | nbOars = 5 : 5 | ----------------------------- | --------- | ----- | W: d= 1,57  #  s= 120 |
shipPos = [ 13293 : 12982 |  0,22 ] | nbOars = 5 : 5 | ----------------------------- | --------- | ----- | W: d= 1,57  #  s= 120 |
shipPos = [ 13479 : 13024 |  0,22 ] | nbOars = 5 : 5 | ----------------------------- | --------- | ----- | W: d= 1,57  #  s= 120 |
shipPos = [ 13666 : 13065 |  0,22 ] | nbOars = 5 : 5 | ----------------------------- | --------- | ----- | W: d= 1,57  #  s= 120 |
shipPos = [ 13853 : 13106 |  0,22 ] | nbOars = 5 : 5 | ----------------------------- | --------- | ----- | W: d= 1,57  #  s= 120 |
shipPos = [ 14039 : 13148 |  0,22 ] | nbOars = 5 : 5 | ----------------------------- | --------- | ----- | W: d= 1,57  #  s= 120 |
shipPos = [ 14226 : 13189 |  0,22 ] | nbOars = 5 : 5 | ----------------------------- | --------- | ----- | W: d= 1,57  #  s= 120 |
******* NEW VISIBLE ENTITIES ****** | Reef{[14954:10625|0,56] Rect[w=3000:h=6500|o=0,00]} !
shipPos = [ 14412 : 13230 |  0,22 ] | nbOars = 5 : 5 | ----------------------------- | --------- | ----- | W: d= 1,57  #  s= 120 |
shipPos = [ 14599 : 13272 |  0,22 ] | nbOars = 5 : 5 | ----------------------------- | --------- | ----- | W: d= 1,57  #  s= 120 |
shipPos = [ 14785 : 13313 |  0,22 ] | nbOars = 5 : 5 | ----------------------------- | --------- | ----- | W: d= 1,57  #  s= 120 |
shipPos = [ 14972 : 13355 |  0,22 ] | nbOars = 5 : 5 | ----------------------------- | --------- | ----- | W: d= 1,57  #  s= 120 |
shipPos = [ 15158 : 13396 |  0,22 ] | nbOars = 5 : 5 | ----------------------------- | --------- | ----- | W: d= 1,57  #  s= 120 |
shipPos = [ 15345 : 13437 |  0,22 ] | nbOars = 5 : 5 | ----------------------------- | --------- | ----- | W: d= 1,57  #  s= 120 |
shipPos = [ 15531 : 13479 |  0,22 ] | nbOars = 4 : 5 | ----------------------------- | --------- | ----- | W: d= 1,57  #  s= 120 |
